추첨일,회차,당첨번호,보너스번호,1등_총당첨금액,1등_당첨게임수,1등_1게임당당첨금액,2등_총당첨금액,2등_당첨게임수,2등_1게임당당첨금액,3등_총당첨금액,3등_당첨게임수,3등_1게임당당첨금액,4등_총당첨금액,4등_당첨게임수,4등_1게임당당첨금액,5등_총당첨금액,5등_당첨게임수,5등_1게임당당첨금액,자동/반자동/수동,총판매금액
(2021- 10- 23),986회,"7, 10, 16, 28, 41, 42",40,"23,752,751,250원",10,"2,375,275,125원","3,958,791,900원",70,"56,554,170원","3,958,792,614원","2,793","1,417,398원","6,694,450,000원","133,889","50,000원","11,155,835,000원","2,231,167","5,000원",당첨번호 6개 숫자일치,"99,041,240,000원"
(2021- 10- 30),987회,"2, 4, 15, 23, 29, 38",7,"23,787,116,250원",10,"2,378,711,625원","3,964,519,405원",73,"54,308,485원","3,964,520,840원","2,968","1,335,755원","7,000,200,000원","140,004","50,000원","11,418,410,000원","2,283,682","5,000원",당첨번호 6개 숫자일치,"100,269,530,000원"
(2021- 11- 06),988회,"2, 13, 20, 30, 31, 41",27,"24,106,404,375원",9,"2,678,489,375원","4,017,734,073원",61,"65,864,493원","4,017,734,675원","2,663","1,508,725원","6,466,100,000원","129,322","50,000원","10,695,125,000원","2,139,025","5,000원",당첨번호 6개 숫자일치,"98,606,195,000원"
(2021- 11- 13),989회,"17, 18, 21, 27, 29, 33",26,"23,307,074,252원",4,"5,826,768,563원","3,884,512,401원",63,"61,658,927원","3,884,513,152원","2,444","1,589,408원","6,394,550,000원","127,891","50,000원","10,792,180,000원","2,158,436","5,000원",당첨번호 6개 숫자일치,"96,525,658,000원"
(2021- 11- 20),990회,"2, 4, 25, 26, 36, 37",28,"24,361,333,878원",14,"1,740,095,277원","4,060,222,320원",56,"72,503,970원","4,060,223,416원","2,858","1,420,652원","6,455,650,000원","129,113","50,000원","10,846,095,000원","2,169,219","5,000원",당첨번호 6개 숫자일치,"99,567,047,000원"
(2021- 11- 27),991회,"13, 18, 25, 31, 33, 44",38,"23,233,328,256원",8,"2,904,166,032원","3,872,221,430원",110,"35,202,013원","3,872,223,242원","2,969","1,304,218원","6,903,400,000원","138,068","50,000원","11,131,970,000원","2,226,394","5,000원",당첨번호 6개 숫자일치,"98,026,282,000원"
(2021- 12- 04),992회,"12, 20, 26, 33, 44, 45",24,"23,843,466,756원",12,"1,986,955,563원","3,973,911,180원",58,"68,515,710원","3,973,911,228원","2,373","1,674,636원","6,215,550,000원","124,311","50,000원","10,526,410,000원","2,105,282","5,000원",당첨번호 6개 숫자일치,"97,066,498,000원"
(2021- 12- 11),993회,"6, 14, 16, 18, 24, 42",44,"23,947,182,378원",6,"3,991,197,063원","3,991,197,070원",70,"57,017,101원","3,991,197,924원","2,732","1,460,907원","6,629,150,000원","132,583","50,000원","11,103,100,000원","2,220,620","5,000원",당첨번호 6개 숫자일치,"99,323,653,000원"
(2021- 12- 18),994회,"1, 3, 8, 24, 27, 35",28,"22,338,984,756원",12,"1,861,582,063원","3,723,164,130원",70,"53,188,059원","3,723,166,037원","2,803","1,328,279원","6,896,850,000원","137,937","50,000원","11,083,305,000원","2,216,661","5,000원",당첨번호 6개 숫자일치,"95,530,936,000원"
(2021- 12- 25),995회,"1, 4, 13, 29, 38, 39",7,"24,130,903,125원",7,"3,447,271,875원","4,021,817,214원",69,"58,287,206원","4,021,819,452원","2,793","1,439,964원","6,918,600,000원","138,372","50,000원","11,346,090,000원","2,269,218","5,000원",당첨번호 6개 숫자일치,"100,878,455,000원"
(2022- 01- 01),996회,"6, 11, 15, 24, 32, 39",28,"26,841,343,878원",18,"1,491,185,771원","4,473,557,374원",86,"52,018,109원","4,473,560,465원","3,313","1,350,305원","7,792,800,000원","155,856","50,000원","12,730,905,000원","2,546,181","5,000원",당첨번호 6개 숫자일치,"112,624,327,000원"
(2022- 01- 08),997회,"4, 7, 14, 16, 24, 44",20,"23,821,241,640원",19,"1,253,749,560원","3,970,206,945원",85,"46,708,317원","3,970,206,968원","3,692","1,075,354원","7,794,350,000원","155,887","50,000원","11,659,975,000원","2,331,995","5,000원",당첨번호 6개 숫자일치,"102,431,961,000원"
(2022- 01- 15),998회,"13, 17, 18, 20, 42, 45",41,"24,917,995,884원",12,"2,076,499,657원","4,152,999,334원",53,"78,358,478원","4,153,001,392원","2,648","1,568,354원","6,478,800,000원","129,576","50,000원","11,138,140,000원","2,227,628","5,000원",당첨번호 6개 숫자일치,"101,681,869,000원"
(2022- 01- 22),999회,"1, 3, 9, 14, 18, 28",34,"24,212,396,640원",16,"1,513,274,790원","4,035,399,481원",67,"60,229,843원","4,035,400,398원","2,943","1,371,186원","7,160,850,000원","143,217","50,000원","11,846,630,000원","2,369,326","5,000원",당첨번호 6개 숫자일치,"102,581,351,000원"
(2022- 01- 29),1000회,"2, 8, 19, 22, 32, 42",39,"27,430,031,640원",22,"1,246,819,620원","4,571,672,005원",109,"41,941,945원","4,571,672,364원","4,018","1,137,798원","9,002,600,000원","180,052","50,000원","13,738,430,000원","2,747,686","5,000원",당첨번호 6개 숫자일치,"118,628,811,000원"
(2022- 02- 05),1001회,"6, 10, 12, 14, 20, 42",15,"24,927,355,128원",12,"2,077,279,594원","4,154,559,222원",66,"62,947,867원","4,154,559,530원","2,761","1,504,730원","7,012,750,000원","140,255","50,000원","11,734,520,000원","2,346,904","5,000원",당첨번호 6개 숫자일치,"103,967,487,000원"
(2022- 02- 12),1002회,"17, 25, 33, 35, 38, 45",15,"24,707,596,504원",8,"3,088,449,563원","4,117,932,780원",85,"48,446,268원","4,117,935,468원","3,193","1,289,676원","7,770,900,000원","155,418","50,000원","12,183,380,000원","2,436,676","5,000원",당첨번호 6개 숫자일치,"105,795,484,000원"
(2022- 02- 19),1003회,"1, 4, 29, 39, 43, 45",31,"25,355,635,508원",14,"1,811,116,822원","4,225,939,278원",66,"64,029,383원","4,225,941,753원","2,649","1,595,297원","6,694,800,000원","133,896","50,000원","11,237,375,000원","2,247,475","5,000원",당첨번호 6개 숫자일치,"103,479,378,000원"
(2022- 02- 26),1004회,"7, 15, 30, 37, 39, 44",18,"25,762,519,130원",10,"2,576,251,913원","4,293,753,240원",68,"63,143,430원","4,293,754,255원","2,785","1,541,743원","7,002,350,000원","140,047","50,000원","11,703,860,000원","2,340,772","5,000원",당첨번호 6개 숫자일치,"106,112,471,000원"
(2022- 03- 05),1005회,"8, 13, 18, 24, 27, 29",17,"24,734,392,128원",12,"2,061,199,344원","4,122,398,700원",84,"49,076,175원","4,122,399,724원","2,798","1,473,338원","7,153,350,000원","143,067","50,000원","11,745,085,000원","2,349,017","5,000원",당첨번호 6개 숫자일치,"103,755,249,000원"
