추첨일,회차,당첨번호,보너스번호,1등_총당첨금액,1등_당첨게임수,1등_1게임당당첨금액,2등_총당첨금액,2등_당첨게임수,2등_1게임당당첨금액,3등_총당첨금액,3등_당첨게임수,3등_1게임당당첨금액,4등_총당첨금액,4등_당첨게임수,4등_1게임당당첨금액,5등_총당첨금액,5등_당첨게임수,5등_1게임당당첨금액,자동/반자동/수동,총판매금액
(2002- 12- 07),1회,"10, 23, 29, 33, 37, 40",16,0원,0,0원,"143,934,100원",1,"143,934,100원","143,934,000원",28,"5,140,500원","287,695,800원","2,537","113,400원","401,550,000원","40,155","10,000원",,"3,681,782,000원"
(2002- 12- 14),2회,"9, 13, 21, 25, 32, 42",2,"2,002,006,800원",1,"2,002,006,800원","189,733,600원",2,"94,866,800원","189,726,000원",103,"1,842,000원","379,310,400원","3,763","100,800원","554,800,000원","55,480","10,000원",,"4,904,274,000원"
(2002- 12- 21),3회,"11, 16, 19, 21, 27, 31",30,"2,000,000,000원",1,"2,000,000,000원",0원,0,0원,"163,199,900원",139,"1,174,100원","326,106,000원","5,940","54,900원","732,560,000원","73,256","10,000원",,"4,729,342,000원"
(2002- 12- 28),4회,"14, 27, 30, 31, 40, 42",2,0원,0,0원,"211,191,200원",1,"211,191,200원","211,189,600원",29,"7,282,400원","422,381,700원","2,777","152,100원","523,820,000원","52,382","10,000원",,"5,271,464,000원"
(2003- 01- 04),5회,"16, 24, 29, 40, 41, 42",3,0원,0,0원,0원,0,0원,"253,419,600원",42,"6,033,800원","506,659,500원","3,043","166,500원","604,340,000원","60,434","10,000원",,"6,277,102,000원"
(2003- 01- 11),6회,"14, 15, 26, 27, 40, 42",34,"6,574,451,700원",1,"6,574,451,700원","588,892,800원",3,"196,297,600원","588,887,400원",138,"4,267,300원","1,177,782,000원","13,445","87,600원","1,763,750,000원","176,375","10,000원",,"15,305,356,000원"
(2003- 01- 18),7회,"2, 9, 16, 25, 26, 40",42,0원,0,0원,"433,485,000원",9,"48,165,000원","433,485,000원",270,"1,605,500원","866,499,500원","13,229","65,500원","2,062,590,000원","206,259","10,000원",,"12,794,890,000원"
(2003- 01- 25),8회,"8, 19, 25, 34, 37, 39",9,0원,0,0원,"789,330,000원",6,"131,555,000원","789,298,800원",348,"2,268,100원","1,577,829,500원","14,279","110,500원","2,482,420,000원","248,242","10,000원",,"20,751,450,000원"
(2003- 02- 01),9회,"2, 4, 16, 17, 36, 39",14,0원,0,0원,"3,077,826,000원",4,"769,456,500원","3,077,817,600원",352,"8,743,800원","6,154,720,000원","23,672","260,000원","6,033,750,000원","603,375","10,000원",,"73,624,020,000원"
(2003- 02- 08),10회,"9, 25, 30, 33, 41, 44",6,"83,595,692,700원",13,"6,430,437,900원","9,631,962,400원",236,"40,813,400원","9,631,930,800원","11,247","856,400원","19,198,288,200원","703,234","27,300원","34,108,460,000원","3,410,846","10,000원",,"260,856,392,000원"
(2003- 02- 15),11회,"1, 7, 36, 37, 41, 42",14,"23,900,761,500원",5,"4,780,152,300원","3,983,459,700원",11,"362,132,700원","3,983,438,800원",428,"9,307,100원","7,964,902,000원","38,515","206,800원","6,128,050,000원","612,805","10,000원",,"91,925,306,000원"
(2003- 02- 22),12회,"2, 11, 21, 25, 39, 45",44,"16,186,148,400원",12,"1,348,845,700원","2,697,688,800원",27,"99,914,400원","2,697,502,500원","1,903","1,417,500원","5,394,519,000원","76,845","70,200원","11,150,840,000원","1,115,084","10,000원",,"76,255,508,000원"
(2003- 03- 01),13회,"22, 23, 25, 37, 38, 42",26,0원,0,0원,"2,599,855,800원",6,"433,309,300원","2,599,830,000원",450,"5,777,400원","5,197,935,600원","29,601","175,600원","7,267,510,000원","726,751","10,000원",,"66,532,136,000원"
(2003- 03- 08),14회,"2, 6, 12, 31, 33, 40",15,"37,500,193,200원",4,"9,375,048,300원","3,650,175,200원",28,"130,363,400원","3,650,122,700원","1,421","2,568,700원","7,299,410,400원","77,736","93,900원","13,417,560,000원","1,341,756","10,000원",,"99,838,648,000원"
(2003- 03- 15),15회,"3, 4, 16, 30, 31, 37",13,"17,014,245,000원",1,"17,014,245,000원","2,835,707,200원",16,"177,231,700원","2,835,689,900원",509,"5,571,100원","5,668,609,200원","39,202","144,600원","8,275,380,000원","827,538","10,000원",,"73,264,910,000원"
(2003- 03- 22),16회,"6, 7, 24, 37, 38, 40",33,"17,508,584,400원",4,"4,377,146,100원","2,918,096,400원",12,"243,174,700원","2,918,042,400원",862,"3,385,200원","5,835,992,500원","47,255","123,500원","8,707,700,000원","870,770","10,000원",,"75,777,348,000원"
(2003- 03- 29),17회,"3, 4, 9, 17, 32, 37",1,"16,048,473,600원",3,"5,349,491,200원","2,674,745,100원",9,"297,193,900원","2,674,678,200원","1,142","2,342,100원","5,345,141,700원","61,651","86,700원","9,611,620,000원","961,162","10,000원",,"72,718,152,000원"
(2003- 04- 05),18회,"3, 12, 13, 19, 32, 35",29,0원,0,0원,"2,625,259,500원",15,"175,017,300원","2,625,256,800원",664,"3,953,700원","5,248,834,500원","38,453","136,500원","6,933,230,000원","693,323","10,000원",,"66,371,660,000원"
(2003- 04- 12),19회,"6, 30, 38, 39, 40, 43",26,"40,722,959,400원",1,"40,722,959,400원","4,161,899,000원",14,"297,278,500원","4,161,856,700원",697,"5,971,100원","8,322,738,600원","55,154","150,900원","11,359,910,000원","1,135,991","10,000원",,"105,957,818,000원"
(2003- 04- 19),20회,"10, 14, 18, 20, 23, 30",41,"19,352,212,800원",1,"19,352,212,800원","3,225,367,600원",14,"230,383,400원","3,225,304,800원",888,"3,632,100원","6,448,356,200원","48,158","133,900원","8,274,700,000원","827,470","10,000원",,"81,056,776,000원"
(2003- 04- 26),21회,"6, 12, 17, 18, 31, 32",21,"18,341,934,200원",23,"797,475,400원","3,056,989,000원",26,"117,576,500원","3,056,979,200원","2,008","1,522,400원","6,108,505,600원","82,996","73,600원","11,553,680,000원","1,155,368","10,000원",,"84,247,142,000원"
(2003- 05- 03),22회,"4, 5, 6, 8, 17, 39",25,"18,208,779,600원",4,"4,552,194,900원","3,034,793,600원",32,"94,837,300원","3,034,759,200원",827,"3,669,600원","6,064,947,200원","53,248","113,900원","9,379,610,000원","937,961","10,000원",,"79,455,152,000원"
(2003- 05- 10),23회,"5, 13, 17, 18, 33, 42",44,"17,271,790,800원",4,"4,317,947,700원","2,878,631,700원",23,"125,157,900원","2,878,593,200원","1,372","2,098,100원","5,753,645,100원","63,717","90,300원","9,900,810,000원","990,081","10,000원",,"77,374,256,000원"
(2003- 05- 17),24회,"7, 8, 27, 29, 36, 43",6,0원,0,0원,"3,168,426,600원",18,"176,023,700원","3,168,402,500원",925,"3,425,300원","6,333,240,000원","52,777","120,000원","7,559,050,000원","755,905","10,000원",,"78,486,634,000원"
(2003- 05- 24),25회,"2, 4, 21, 26, 43, 44",16,"48,455,490,600원",2,"24,227,745,300원","4,907,487,200원",28,"175,267,400원","4,907,398,100원","1,111","4,417,100원","9,813,239,800원","58,903","166,600원","10,962,000,000원","1,096,200","10,000원",,"120,073,768,000원"
(2003- 05- 31),26회,"4, 5, 7, 18, 20, 25",31,"17,475,349,500원",5,"3,495,069,900원","2,912,555,100원",39,"74,680,900원","2,912,490,000원","1,340","2,173,500원","5,823,511,200원","72,252","80,600원","10,970,930,000원","1,097,093","10,000원",,"80,193,026,000원"
(2003- 06- 07),27회,"1, 20, 26, 28, 37, 43",27,"19,087,965,000원",2,"9,543,982,500원","3,181,326,400원",16,"198,832,900원","3,181,315,500원",579,"5,494,500원","6,360,008,200원","33,509","189,800원","6,259,250,000원","625,925","10,000원",,"76,145,050,000원"
(2003- 06- 14),28회,"9, 18, 23, 25, 35, 37",1,"17,003,611,000원",10,"1,700,361,100원","2,833,934,400원",22,"128,815,200원","2,833,874,400원","1,164","2,434,600원","5,665,473,000원","57,870","97,900원","9,384,830,000원","938,483","10,000원",,"75,448,366,000원"
(2003- 06- 21),29회,"1, 5, 13, 34, 39, 40",11,"17,762,970,000원",5,"3,552,594,000원","2,960,493,900원",17,"174,146,700원","2,960,473,600원",752,"3,936,800원","5,920,110,600원","42,347","139,800원","7,656,610,000원","765,661","10,000원",,"74,523,120,000원"
(2003- 06- 28),30회,"8, 17, 20, 35, 36, 44",4,"17,457,111,000원",2,"8,728,555,500원","2,909,517,600원",22,"132,250,800원","2,909,515,200원",872,"3,336,600원","5,818,862,500원","42,319","137,500원","7,104,660,000원","710,466","10,000원",,"72,399,690,000원"
(2003- 07- 05),31회,"7, 9, 18, 23, 28, 35",32,"16,213,345,800원",2,"8,106,672,900원","2,702,222,900원",29,"93,180,100원","2,702,169,000원","1,130","2,391,300원","5,402,555,000원","58,406","92,500원","8,636,410,000원","863,641","10,000원",,"71,317,306,000원"
(2003- 07- 12),32회,"6, 14, 19, 25, 34, 44",11,"16,345,283,000원",10,"1,634,528,300원","2,724,213,800원",49,"55,596,200원","2,724,193,500원","1,203","2,264,500원","5,444,323,200원","52,704","103,300원","8,347,460,000원","834,746","10,000원",,"71,179,198,000원"
(2003- 07- 19),33회,"4, 7, 32, 33, 40, 41",9,"14,903,517,600원",1,"14,903,517,600원","2,483,919,400원",41,"60,583,400원","2,483,912,100원","1,063","2,336,700원","4,963,918,400원","52,142","95,200원","8,889,430,000원","888,943","10,000원",,"67,457,252,000원"
(2003- 07- 26),34회,"9, 26, 35, 37, 40, 42",2,"15,284,590,000원",5,"3,056,918,000원","2,547,427,500원",45,"56,609,500원","2,547,339,200원","1,264","2,015,300원","5,090,961,700원","68,519","74,300원","9,220,630,000원","922,063","10,000원",,"69,389,894,000원"
(2003- 08- 02),35회,"2, 3, 11, 26, 37, 43",39,"15,163,794,600원",3,"5,054,598,200원","2,527,298,400원",24,"105,304,100원","2,527,217,100원",933,"2,708,700원","5,052,154,800원","46,866","107,800원","7,798,540,000원","779,854","10,000원",,"66,143,062,000원"
(2003- 08- 09),36회,"1, 10, 23, 26, 28, 40",31,"16,014,475,800원",1,"16,014,475,800원","2,669,078,200원",19,"140,477,800원","2,669,030,400원",768,"3,475,300원","5,338,115,300원","38,321","139,300원","6,737,550,000원","673,755","10,000원",,"66,856,686,000원"
(2003- 08- 16),37회,"7, 27, 30, 33, 35, 37",42,"14,957,998,200원",3,"4,985,999,400원","2,492,998,000원",20,"124,649,900원","2,492,927,300원",857,"2,908,900원","4,985,538,400원","46,334","107,600원","7,824,900,000원","782,490","10,000원",,"65,509,794,000원"
(2003- 08- 23),38회,"16, 17, 22, 30, 37, 43",36,"16,124,599,200원",3,"5,374,866,400원","2,687,432,400원",18,"149,301,800원","2,687,414,100원",679,"3,957,900원","5,372,882,900원","36,377","147,700원","6,810,310,000원","681,031","10,000원",,"67,369,284,000원"
(2003- 08- 30),39회,"6, 7, 13, 15, 21, 43",8,"15,742,492,800원",6,"2,623,748,800원","2,623,747,500원",25,"104,949,900원","2,623,696,500원",699,"3,753,500원","5,247,020,800원","38,752","135,400원","6,809,750,000원","680,975","10,000원",,"66,094,476,000원"
(2003- 09- 06),40회,"7, 13, 18, 19, 25, 26",6,"14,919,481,200원",13,"1,147,652,400원","2,486,576,400원",44,"56,513,100원","2,486,529,500원","1,055","2,356,900원","4,972,188,400원","65,081","76,400원","7,983,740,000원","798,374","10,000원",,"65,699,086,000원"
(2003- 09- 13),41회,"13, 20, 23, 35, 38, 43",34,0원,0,0원,"2,297,484,000원",21,"109,404,000원","2,297,470,000원",700,"3,282,100원","4,594,099,500원","33,805","135,900원","5,837,440,000원","583,744","10,000원",,"57,624,562,000원"
(2003- 09- 20),42회,"17, 18, 19, 21, 23, 32",1,"41,395,680,600원",6,"6,899,280,100원","4,601,793,000원",35,"131,479,800원","4,601,656,000원","1,405","3,275,200원","9,203,125,100원","79,543","115,700원","13,936,910,000원","1,393,691","10,000원",,"119,909,740,000원"
(2003- 09- 27),43회,"6, 31, 35, 38, 39, 44",1,"17,749,630,800원",1,"17,749,630,800원","2,958,270,000원",21,"140,870,000원","2,958,199,600원",926,"3,194,600원","5,914,233,600원","45,078","131,200원","7,760,430,000원","776,043","10,000원",,"74,686,296,000원"
(2003- 10- 04),44회,"3, 11, 21, 30, 38, 45",39,"16,810,779,000원",5,"3,362,155,800원","2,801,795,600원",23,"121,817,200원","2,801,743,500원",785,"3,569,100원","5,600,852,400원","40,092","139,700원","6,960,510,000원","696,051","10,000원",,"69,956,950,000원"
(2003- 10- 11),45회,"1, 10, 20, 27, 33, 35",17,"16,712,835,600원",2,"8,356,417,800원","2,785,471,200원",27,"103,165,600원","2,785,433,000원",890,"3,129,700원","5,570,075,000원","45,470","122,500원","7,753,390,000원","775,339","10,000원",,"71,216,232,000원"
(2003- 10- 18),46회,"8, 13, 15, 23, 31, 38",39,"15,983,276,400원",3,"5,327,758,800원","2,663,879,400원",39,"68,304,600원","2,663,822,000원","1,043","2,554,000원","5,325,101,100원","45,243","117,700원","7,451,990,000원","745,199","10,000원",,"68,181,568,000원"
(2003- 10- 25),47회,"14, 17, 26, 31, 36, 45",27,"16,250,212,000원",5,"3,250,042,400원","2,708,368,300원",11,"246,215,300원","2,708,345,200원",902,"3,002,600원","5,413,372,000원","40,580","133,400원","6,794,660,000원","679,466","10,000원",,"67,756,694,000원"
(2003- 11- 01),48회,"6, 10, 18, 26, 37, 38",3,"14,494,041,600원",6,"2,415,673,600원","2,415,672,500원",25,"96,626,900원","2,415,647,300원","1,279","1,888,700원","4,829,510,400원","58,047","83,200원","8,746,680,000원","874,668","10,000원",,"65,806,832,000원"
(2003- 11- 08),49회,"4, 7, 16, 19, 33, 40",30,"13,772,532,200원",7,"1,967,504,600원","2,295,419,700원",49,"46,845,300원","2,295,333,200원","1,487","1,543,600원","4,585,119,000원","66,451","69,000원","9,296,350,000원","929,635","10,000원",,"64,501,142,000원"
(2003- 11- 15),50회,"2, 10, 12, 15, 22, 44",1,"15,681,184,200원",3,"5,227,061,400원","2,613,529,800원",14,"186,680,700원","2,613,464,000원",826,"3,164,000원","5,226,391,200원","40,296","129,700원","6,646,310,000원","664,631","10,000원",,"65,563,234,000원"
(2003- 11- 22),51회,"2, 3, 11, 16, 26, 44",35,"14,526,702,000원",6,"2,421,117,000원","2,421,114,800원",26,"93,119,800원","2,421,047,300원",961,"2,519,300원","4,840,371,300원","45,707","105,900원","7,065,670,000원","706,567","10,000원",,"62,553,680,000원"
(2003- 11- 29),52회,"2, 4, 15, 16, 20, 29",1,"15,603,379,600원",4,"3,900,844,900원","2,600,562,900원",13,"200,043,300원","2,600,536,800원",669,"3,887,200원","5,199,750,000원","34,665","150,000원","6,191,090,000원","619,109","10,000원",,"64,393,446,000원"
(2003- 12- 06),53회,"7, 8, 14, 32, 33, 39",42,"15,043,113,000원",3,"5,014,371,000원","2,507,185,000원",25,"100,287,400원","2,507,132,200원",802,"3,126,100원","5,013,606,000원","45,372","110,500원","7,426,150,000원","742,615","10,000원",,"64,996,010,000원"
(2003- 12- 13),54회,"1, 8, 21, 27, 36, 39",37,"15,445,879,800원",3,"5,148,626,600원","2,574,312,000원",15,"171,620,800원","2,574,307,600원",719,"3,580,400원","5,147,935,800원","34,854","147,700원","6,173,370,000원","617,337","10,000원",,"63,833,006,000원"
(2003- 12- 20),55회,"17, 21, 31, 37, 40, 44",7,"14,177,599,200원",2,"7,088,799,600원","2,362,932,000원",24,"98,455,500원","2,362,869,600원",728,"3,245,700원","4,723,050,000원","42,550","111,000원","7,468,550,000원","746,855","10,000원",,"62,195,764,000원"
(2003- 12- 27),56회,"10, 14, 30, 31, 33, 37",19,"15,110,283,600원",4,"3,777,570,900원","2,518,380,300원",29,"86,840,700원","2,518,362,900원","1,359","1,853,100원","5,033,378,800원","41,156","122,300원","7,445,660,000원","744,566","10,000원",,"65,258,932,000원"
(2004- 01- 03),57회,"7, 10, 16, 25, 29, 44",6,"16,457,647,600원",4,"4,114,411,900원","2,742,940,000원",25,"109,717,600원","2,742,912,000원",960,"2,857,200원","5,484,225,000원","44,050","124,500원","7,636,920,000원","763,692","10,000원",,"70,132,666,000원"
(2004- 01- 10),58회,"10, 24, 25, 33, 40, 44",1,"14,705,716,800원",4,"3,676,429,200원","2,450,951,100원",39,"62,844,900원","2,450,952,800원","1,318","1,859,600원","4,901,703,000원","58,215","84,200원","8,809,540,000원","880,954","10,000원",,"66,638,136,000원"
(2004- 01- 17),59회,"6, 29, 36, 39, 41, 45",13,"16,510,349,200원",4,"4,127,587,300원","2,751,724,600원",23,"119,640,200원","2,751,711,900원",651,"4,226,900원","5,502,584,600원","35,026","157,100원","6,264,600,000원","626,460","10,000원",,"67,563,698,000원"
(2004- 01- 24),60회,"2, 8, 25, 36, 39, 42",11,"15,207,532,200원",7,"2,172,504,600원","2,534,587,200원",27,"93,873,600원","2,534,496,000원","1,088","2,329,500원","5,064,889,600원","45,712","110,800원","7,357,080,000원","735,708","10,000원",,"65,405,936,000원"
(2004- 01- 31),61회,"14, 15, 19, 30, 38, 43",8,"17,705,194,000원",5,"3,541,038,800원","2,950,865,500원",11,"268,260,500원","2,950,860,000원",789,"3,740,000원","5,899,583,700원","41,227","143,100원","7,147,840,000원","714,784","10,000원",,"73,312,994,000원"
(2004- 02- 07),62회,"3, 8, 15, 27, 29, 35",21,"15,817,286,400원",1,"15,817,286,400원","2,636,213,800원",22,"119,827,900원","2,636,137,100원",829,"3,179,900원","5,269,110,400원","41,686","126,400원","7,008,040,000원","700,804","10,000원",,"66,740,368,000원"
(2004- 02- 14),63회,"3, 20, 23, 36, 38, 40",5,"15,844,491,000원",2,"7,922,245,500원","2,640,747,200원",26,"101,567,200원","2,640,672,800원",824,"3,204,700원","5,279,436,000원","41,505","127,200원","7,129,540,000원","712,954","10,000원",,"67,074,050,000원"
(2004- 02- 21),64회,"14, 15, 18, 21, 26, 36",39,"15,599,272,000원",4,"3,899,818,000원","2,599,878,600원",11,"236,352,600원","2,599,833,600원",651,"3,993,600원","5,196,380,000원","37,117","140,000원","6,543,790,000원","654,379","10,000원",,"65,085,154,000원"
(2004- 02- 28),65회,"4, 25, 33, 36, 40, 43",39,"14,911,783,200원",4,"3,727,945,800원","2,485,296,000원",27,"92,048,000원","2,485,233,400원","1,003","2,477,800원","4,966,542,000원","52,556","94,500원","8,489,600,000원","848,960","10,000원",,"66,685,144,000원"
(2004- 03- 06),66회,"2, 3, 7, 17, 22, 24",45,"14,740,552,800원",4,"3,685,138,200원","2,456,757,000원",19,"129,303,000원","2,456,721,600원",786,"3,125,600원","4,910,973,600원","40,188","122,200원","7,121,810,000원","712,181","10,000원",,"63,378,796,000원"
(2004- 03- 13),67회,"3, 7, 10, 15, 36, 38",33,"14,801,055,500원",7,"2,114,436,500원","2,466,837,400원",62,"39,787,700원","2,466,838,800원",972,"2,537,900원","4,931,070,000원","46,740","105,500원","7,489,010,000원","748,901","10,000원",,"64,314,872,000원"
(2004- 03- 20),68회,"10, 12, 15, 16, 26, 39",38,"14,729,410,500원",5,"2,945,882,100원","2,454,900,000원",20,"122,745,000원","2,454,873,200원",754,"3,255,800원","4,906,251,000원","43,265","113,400원","7,357,600,000원","735,760","10,000원",,"63,813,236,000원"
(2004- 03- 27),69회,"5, 8, 14, 15, 19, 39",35,"14,888,136,600원",3,"4,962,712,200원","2,481,356,000원",20,"124,067,800원","2,481,303,800원",766,"3,239,300원","4,958,766,000원","41,220","120,300원","7,042,090,000원","704,209","10,000원",,"63,711,302,000원"
(2004- 04- 03),70회,"5, 19, 22, 25, 28, 43",26,"15,093,833,400원",3,"5,031,277,800원","2,515,637,600원",14,"179,688,400원","2,515,594,500원",717,"3,508,500원","5,027,962,700원","36,781","136,700원","6,459,900,000원","645,990","10,000원",,"63,232,578,000원"
(2004- 04- 10),71회,"5, 9, 12, 16, 29, 41",21,0원,0,0원,"2,484,865,600원",28,"88,745,200원","2,484,805,000원",782,"3,177,500원","4,967,161,200원","39,516","125,700원","6,596,310,000원","659,631","10,000원",,"62,889,986,000원"
(2004- 04- 17),72회,"2, 4, 11, 17, 26, 27",1,"42,386,819,800원",13,"3,260,524,600원","4,579,599,200원",44,"104,081,800원","4,579,495,000원","2,510","1,824,500원","9,153,718,200원","113,994","80,300원","17,029,590,000원","1,702,959","10,000원",,"125,651,214,000원"
(2004- 04- 24),73회,"3, 12, 18, 32, 40, 43",38,"16,599,972,600원",6,"2,766,662,100원","2,766,660,000원",26,"106,410,000원","2,766,617,400원","1,363","2,029,800원","5,532,996,000원","55,608","99,500원","8,651,310,000원","865,131","10,000원",,"72,635,862,000원"
(2004- 05- 01),74회,"6, 15, 17, 18, 35, 40",23,"15,854,849,400원",3,"5,284,949,800원","2,642,472,000원",40,"66,061,800원","2,642,450,100원","1,021","2,588,100원","5,284,585,800원","48,438","109,100원","8,026,330,000원","802,633","10,000원",,"68,902,158,000원"
(2004- 05- 08),75회,"2, 5, 24, 32, 34, 44",28,"15,658,467,600원",4,"3,914,616,900원","2,609,743,100원",19,"137,354,900원","2,609,743,100원",817,"3,194,300원","5,216,017,800원","40,782","127,900원","6,971,740,000원","697,174","10,000원",,"66,138,372,000원"
(2004- 05- 15),76회,"1, 3, 15, 22, 25, 37",43,"14,902,045,200원",2,"7,451,022,600원","2,483,672,800원",17,"146,098,400원","2,483,628,000원",840,"2,956,700원","4,966,646,400원","44,504","111,600원","7,705,220,000원","770,522","10,000원",,"65,083,924,000원"
(2004- 05- 22),77회,"2, 18, 29, 32, 43, 44",37,"15,467,275,800원",3,"5,155,758,600원","2,577,878,200원",19,"135,677,800원","2,577,851,500원",713,"3,615,500원","5,154,993,600원","37,033","139,200원","6,431,540,000원","643,154","10,000원",,"64,420,666,000원"
(2004- 05- 29),78회,"10, 13, 25, 29, 33, 35",38,"14,079,400,000원",4,"3,519,850,000원","2,346,566,200원",22,"106,662,100원","2,346,526,000원",910,"2,578,600원","4,690,725,000원","42,450","110,500원","7,163,230,000원","716,323","10,000원",,"61,257,794,000원"
(2004- 06- 05),79회,"3, 12, 24, 27, 30, 32",14,"13,665,775,200원",4,"3,416,443,800원","2,277,629,210원",31,"73,471,910원","2,277,630,108원","1,196","1,904,373원","4,555,264,374원","49,431","92,154원","7,418,710,000원","741,871","10,000원",,"60,390,004,000원"
(2004- 06- 12),80회,"17, 18, 24, 25, 26, 30",1,"13,809,540,000원",1,"13,809,540,000원","2,301,590,000원",16,"143,849,375원","2,301,590,536원",868,"2,651,602원","4,603,184,862원","40,251","114,362원","7,064,320,000원","706,432","10,000원",,"60,160,440,000원"
(2004- 06- 19),81회,"5, 7, 11, 13, 20, 33",6,"13,571,444,400원",5,"2,714,288,880원","2,261,907,400원",20,"113,095,370원","2,261,908,056원","1,046","2,162,436원","4,523,857,320원","51,654","87,580원","7,872,580,000원","787,258","10,000원",,"60,983,308,000원"
(2004- 06- 26),82회,"1, 2, 3, 14, 27, 42",39,"14,562,494,400원",1,"14,562,494,400원","2,427,082,400원",20,"121,354,120원","2,427,082,749원",637,"3,810,177원","4,854,190,480원","36,139","134,320원","6,380,580,000원","638,058","10,000원",,"61,302,808,000원"
(2004- 07- 03),83회,"6, 10, 15, 17, 19, 34",14,"14,173,896,600원",2,"7,086,948,300원","2,362,316,100원",15,"157,487,740원","2,362,316,430원",851,"2,775,930원","4,724,661,120원","45,924","102,880원","7,632,870,000원","763,287","10,000원",,"62,512,062,000원"
(2004- 07- 10),84회,"16, 23, 27, 34, 42, 45",11,"15,339,558,000원",2,"7,669,779,000원","2,556,593,008원",17,"150,387,824원","2,556,593,185원",635,"4,026,131원","5,113,197,610원","32,402","157,805원","5,824,450,000원","582,445","10,000원",,"62,780,760,000원"
(2004- 07- 17),85회,"6, 8, 13, 23, 31, 36",21,"13,848,439,200원",4,"3,462,109,800원","2,308,073,225원",31,"74,453,975원","2,308,073,872원",823,"2,804,464원","4,616,147,442원","41,746","110,577원","6,644,920,000원","664,492","10,000원",,"59,451,304,000원"
(2004- 07- 24),86회,"2, 12, 37, 39, 41, 45",33,"14,252,186,400원",1,"14,252,186,400원","2,375,364,400원",16,"148,460,275원","2,375,364,537원",611,"3,887,667원","4,750,749,355원","35,057","135,515원","6,164,340,000원","616,434","10,000원",,"59,835,968,000원"
(2004- 07- 31),87회,"4, 12, 16, 23, 34, 43",26,"19,792,938,605원",11,"1,799,358,055원","3,298,823,121원",33,"99,964,337원","3,298,823,750원","1,250","2,639,059원","6,597,681,888원","54,768","120,466원","8,908,590,000원","890,859","10,000원",,"83,793,642,000원"
(2004- 08- 07),88회,"1, 17, 20, 24, 30, 41",27,"12,278,838,600원",4,"3,069,709,650원","2,046,473,122원",31,"66,015,262원","2,046,474,066원","1,183","1,729,902원","4,093,006,119원","64,639","63,321원","5,490,575,000원","1,098,115","5,000원",,"51,910,612,000원"
(2004- 08- 14),89회,"4, 26, 28, 29, 33, 40",37,"12,744,965,700원",3,"4,248,321,900원","2,124,160,950원",30,"70,805,365원","2,124,161,300원","1,340","1,585,195원","4,248,330,821원","72,667","58,463원","6,309,480,000원","1,261,896","5,000원",,"55,102,179,000원"
(2004- 08- 21),90회,"17, 20, 29, 35, 38, 44",10,"13,165,741,200원",4,"3,291,435,300원","2,194,290,232원",34,"64,537,948원","2,194,290,540원","1,297","1,691,820원","4,388,619,760원","67,888","64,645원","5,803,870,000원","1,160,774","5,000원",,"55,493,544,000원"
(2004- 08- 28),91회,"1, 21, 24, 26, 29, 42",27,"14,331,609,600원",4,"3,582,902,400원","2,388,601,600원",32,"74,643,800원","2,388,601,610원","1,205","1,982,242원","4,777,204,873원","64,183","74,431원","5,644,510,000원","1,128,902","5,000원",,"59,061,052,000원"
(2004- 09- 04),92회,"3, 14, 24, 33, 35, 36",17,"13,565,979,306원",11,"1,233,270,846원","2,260,996,550원",50,"45,219,931원","2,260,998,054원","1,623","1,393,098원","4,522,055,509원","79,319","57,011원","6,538,035,000원","1,307,607","5,000원",,"58,296,001,000원"
(2004- 09- 11),93회,"6, 22, 24, 36, 38, 44",19,"13,615,068,900원",6,"2,269,178,150원","2,269,178,158원",26,"87,276,083원","2,269,178,972원","1,462","1,552,106원","4,538,377,520원","68,597","66,160원","5,926,375,000원","1,185,275","5,000원",,"57,236,313,000원"
(2004- 09- 18),94회,"5, 32, 34, 40, 41, 45",6,"13,472,039,700원",6,"2,245,339,950원","2,245,339,972원",38,"59,087,894원","2,245,340,031원","1,353","1,659,527원","4,490,699,430원","71,106","63,155원","6,118,965,000원","1,223,793","5,000원",,"57,144,729,000원"
(2004- 09- 25),95회,"8, 17, 27, 31, 34, 43",14,"13,981,929,904원",8,"1,747,741,238원","2,330,321,664원",48,"48,548,368원","2,330,322,048원","1,728","1,348,566원","4,660,705,280원","82,432","56,540원","6,735,530,000원","1,347,106","5,000원",,"60,077,493,000원"
(2004- 10- 02),96회,"1, 3, 8, 21, 22, 31",20,"12,929,934,605원",7,"1,847,133,515원","2,154,989,120원",38,"56,710,240원","2,154,990,222원","1,197","1,800,326원","4,309,996,602원","65,301","66,002원","5,558,895,000원","1,111,779","5,000원",,"54,217,572,000원"
(2004- 10- 09),97회,"6, 7, 14, 15, 20, 36",3,"13,465,926,000원",9,"1,496,214,000원","2,244,321,002원",46,"48,789,587원","2,244,321,274원","1,543","1,454,518원","4,488,664,921원","77,227","58,123원","6,413,390,000원","1,282,678","5,000원",,"57,713,200,000원"
(2004- 10- 16),98회,"6, 9, 16, 23, 24, 32",43,"12,711,889,200원",4,"3,177,972,300원","2,118,648,240원",45,"47,081,072원","2,118,649,080원","1,880","1,126,941원","4,237,306,318원","87,818","48,251원","6,929,060,000원","1,385,812","5,000원",,"56,231,084,000원"
