회차,추첨일,1등_당첨자수,1등_게임당_당첨금액,당첨번호_1,당첨번호_2,당첨번호_3,당첨번호_4,당첨번호_5,당첨번호_6,보너스번호,당첨번호_합,당첨번호_평균,당첨번호_홀짝비율,자동_당첨자수,수동_당첨자수,반자동_당첨자수,1등_당첨판매점
1176,2025년 06월 14일,0,26678160002,7,9,11,21,30,35,29,113,18.83,5:1,0,0,0,
1177,2025년 06월 21일,0,27460032000,3,7,15,16,19,43,21,103,17.17,5:1,0,0,0,
1178,2025년 06월 28일,0,28699300884,5,6,11,27,43,44,17,136,22.67,4:2,0,0,0,
1179,2025년 07월 05일,0,28116674261,3,16,18,24,40,44,21,145,24.17,1:5,0,0,0,
1180,2025년 07월 12일,0,27891230631,6,12,18,37,40,41,3,154,25.67,2:4,0,0,0,
1181,2025년 07월 19일,0,27091939500,8,10,14,20,33,41,28,126,21.0,2:4,0,0,0,
1182,2025년 07월 26일,0,27622210512,1,13,21,25,28,31,22,119,19.83,5:1,0,0,0,
1183,2025년 08월 02일,0,26961558000,4,15,17,23,27,36,31,122,20.33,4:2,0,0,0,
1184,2025년 08월 09일,0,28659834000,14,16,23,25,31,37,42,146,24.33,4:2,0,0,0,
1185,2025년 08월 16일,0,28664341500,6,17,22,28,29,32,38,134,22.33,2:4,0,0,0,
1186,2025년 08월 23일,0,27799476754,2,8,13,16,23,28,35,90,15.0,2:4,0,0,0,
1187,2025년 08월 30일,0,28813180132,5,13,26,29,37,40,42,150,25.0,4:2,0,0,0,
1188,2025년 09월 06일,0,25791004128,3,4,12,19,22,27,9,87,14.5,3:3,0,0,0,
